Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,15,Villarreal CF,Real Madrid,78,76,74,86,83,81,0.21428571428571427,1.4285714285714286,1,0
2015,16,Valencia CF,Getafe CF,81,79,77,72,73,69,0.4666666666666667,-0.5333333333333333,2,2
2015,16,Espanyol Barcelona,UD Las Palmas,76,73,72,73,70,67,-0.7333333333333333,-0.6666666666666666,1,0
2015,16,Real Betis,Sevilla FC,73,71,68,79,76,77,-0.4,0.13333333333333333,0,0
2015,16,Deportivo La Coruña,SD Eibar,71,72,72,72,72,72,0.4666666666666667,0.13333333333333333,2,0
2015,16,Real Madrid,Rayo Vallecano,86,83,81,75,73,75,1.2666666666666666,-0.7333333333333333,10,2
2015,16,Real Sociedad,Villarreal CF,78,76,76,78,76,74,-0.2,0.26666666666666666,0,2
2015,16,Granada CF,Celta Vigo,72,74,72,75,74,73,-0.5333333333333333,0.26666666666666666,0,2
2015,16,Athletic Bilbao,Levante UD,77,77,77,73,71,73,0.26666666666666666,-1.0,2,0
2015,16,Málaga CF,Atlético Madrid,74,73,74,81,78,79,-0.3333333333333333,1.0,1,0
2015,16,Sporting Gijón,FC Barcelona,63,67,70,88,85,81,-0.5333333333333333,1.4,1,3
2015,17,Real Madrid,Real Sociedad,86,83,81,78,76,76,1.6875,-0.3125,3,1
2015,17,Levante UD,Málaga CF,73,71,73,74,73,74,-1.0625,-0.25,0,1
2015,17,Sevilla FC,Espanyol Barcelona,79,76,77,76,73,72,0.125,-0.625,2,0
2015,17,Rayo Vallecano,Atlético Madrid,75,73,75,81,78,79,-1.1875,0.875,0,2
2015,17,SD Eibar,Sporting Gijón,72,72,72,63,67,70,0.0,-0.625,2,0
2015,17,Getafe CF,Deportivo La Coruña,72,73,69,71,72,72,-0.5,0.5625,0,0
2015,17,FC Barcelona,Real Betis,88,85,81,73,71,68,1.4375,-0.375,4,0
2015,17,Celta Vigo,Athletic Bilbao,75,74,73,77,77,77,0.375,0.375,0,1
2015,17,UD Las Palmas,Granada CF,73,70,67,72,74,72,-0.6875,-0.625,4,1
2015,17,Villarreal CF,Valencia CF,78,76,74,81,79,77,0.375,0.4375,1,0
2015,18,Espanyol Barcelona,FC Barcelona,76,73,72,88,85,81,-0.7058823529411765,1.588235294117647,0,0
2015,18,Atlético Madrid,Levante UD,81,78,79,73,71,73,0.9411764705882353,-1.0588235294117647,1,0
2015,18,Málaga CF,Celta Vigo,74,73,74,75,74,73,-0.17647058823529413,0.29411764705882354,2,0
2015,18,Rayo Vallecano,Real Sociedad,75,73,75,78,76,76,-1.2352941176470589,-0.4117647058823529,2,2
2015,18,Real Betis,SD Eibar,73,71,68,72,72,72,-0.5882352941176471,0.11764705882352941,0,4
2015,18,Granada CF,Sevilla FC,72,74,72,79,76,77,-0.7647058823529411,0.23529411764705882,2,1
2015,18,Deportivo La Coruña,Villarreal CF,71,72,72,78,76,74,0.5294117647058824,0.4117647058823529,1,2
2015,18,Athletic Bilbao,UD Las Palmas,77,77,77,73,70,67,0.4117647058823529,-0.47058823529411764,2,2
2015,18,Valencia CF,Real Madrid,81,79,77,86,83,81,0.35294117647058826,1.7058823529411764,2,2
2015,18,Sporting Gijón,Getafe CF,63,67,70,72,73,69,-0.7058823529411765,-0.47058823529411764,1,2
2015,19,FC Barcelona,Granada CF,88,85,81,72,74,72,1.5,-0.6666666666666666,4,0
2015,19,Getafe CF,Real Betis,72,73,69,73,71,68,-0.3888888888888889,-0.7777777777777778,1,0
2015,19,Sevilla FC,Athletic Bilbao,79,76,77,77,77,77,0.16666666666666666,0.3888888888888889,2,0
2015,19,Real Madrid,Deportivo La Coruña,86,83,81,71,72,72,1.6111111111111112,0.4444444444444444,5,0
2015,19,Levante UD,Rayo Vallecano,73,71,73,75,73,75,-1.0555555555555556,-1.1666666666666667,2,1
2015,19,Villarreal CF,Sporting Gijón,78,76,74,63,67,70,0.4444444444444444,-0.7222222222222222,2,0
2015,19,Real Sociedad,Valencia CF,78,76,76,81,79,77,-0.3888888888888889,0.3333333333333333,2,0
2015,19,SD Eibar,Espanyol Barcelona,72,72,72,76,73,72,0.3333333333333333,-0.6666666666666666,2,1
